system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,score_available,note,roc_auc,average_precision,source_version
tuned_mlp,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8737541528239202,0.8661672629695886,0.8948306595365418,0.9012567324955116,0.8294797687861272,502,287,59,55,14,334,0.9580838323353293,0.6212624584717608,561,True,Nested grouped MLP; pooled outer OOF scores are descriptive.,0.9272527267255426,0.9464285261398361,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_0,181,0.8784530386740331,0.8704450806871421,0.8869565217391304,0.918918918918919,0.8142857142857143,102,57,13,9,2,72,0.9722222222222222,0.6353591160220995,115,True,Outer held-out fold.,0.9447876447876448,0.9641778763052122,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_1,181,0.8950276243093923,0.8896376881358108,0.926605504587156,0.9017857142857143,0.8840579710144928,101,61,8,11,2,54,0.9629629629629629,0.6022099447513812,109,True,Outer held-out fold.,0.92675983436853,0.9521892635883016,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_2,180,0.8833333333333333,0.8739957998599953,0.8813559322033898,0.9369369369369369,0.7971014492753623,104,55,14,7,1,71,0.9859154929577465,0.6555555555555556,118,True,Outer held-out fold.,0.9522130826478653,0.9679259104550281,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_3,180,0.8833333333333333,0.8739957998599953,0.8813559322033898,0.9369369369369369,0.7971014492753623,104,55,14,7,1,71,0.9859154929577465,0.6555555555555556,118,True,Outer held-out fold.,0.9459459459459459,0.9633047703790105,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_4,181,0.8287292817679558,0.8232032013107728,0.900990099009901,0.8125,0.855072463768116,91,59,10,21,8,66,0.8787878787878788,0.5580110497237569,101,True,Outer held-out fold.,0.9258540372670807,0.9497586420866952,version3
tuned_mlp,tuned,recall_first,outer_oof_aggregate,903,0.8604651162790697,0.8427611940298507,0.8320493066255779,0.9694793536804309,0.684971098265896,540,237,109,17,1,334,0.9970059880239521,0.7187153931339978,649,True,Nested grouped MLP; pooled outer OOF scores are descriptive.,0.9272527267255426,0.9464285261398361,version3
tuned_mlp,tuned,recall_first,outer_fold_0,181,0.856353591160221,0.8417406510626849,0.84,0.9459459459459459,0.7142857142857143,105,50,20,6,0,72,1.0,0.6906077348066298,125,True,Outer held-out fold.,0.9447876447876448,0.9641778763052122,version3
tuned_mlp,tuned,recall_first,outer_fold_1,181,0.8950276243093923,0.8877794093653124,0.9043478260869565,0.9285714285714286,0.8405797101449275,104,58,11,8,0,54,1.0,0.6353591160220995,115,True,Outer held-out fold.,0.92675983436853,0.9521892635883016,version3
tuned_mlp,tuned,recall_first,outer_fold_2,180,0.8444444444444444,0.8167272727272727,0.7985611510791367,1.0,0.5942028985507246,111,41,28,0,0,71,1.0,0.7722222222222223,139,True,Outer held-out fold.,0.9522130826478653,0.9679259104550281,version3
tuned_mlp,tuned,recall_first,outer_fold_3,180,0.8888888888888888,0.8760159801625569,0.8582677165354331,0.9819819819819819,0.7391304347826086,109,51,18,2,0,71,1.0,0.7055555555555556,127,True,Outer held-out fold.,0.9459459459459459,0.9633047703790105,version3
tuned_mlp,tuned,recall_first,outer_fold_4,181,0.8176795580110497,0.7810885101704232,0.7762237762237763,0.9910714285714286,0.5362318840579711,111,37,32,1,1,66,0.9848484848484849,0.7900552486187845,143,True,Outer held-out fold.,0.9258540372670807,0.9497586420866952,version3
llm_train,,frozen_label,outer_oof_aggregate,903,0.9789590254706534,0.9776820383139968,0.9786476868327402,0.9874326750448833,0.9653179190751445,550,334,12,7,0,334,1.0,0.6223698781838317,562,False,Frozen training LLM labels joined by exact query_id; score metrics are undefined and null.,,,version3
always_relevant,,always_relevant,outer_oof_aggregate,903,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,False,Constant reference.,,,version3
