selection_scope,outer_fold,embedding,config_id,n_estimators,forest_params,max_depth,min_samples_leaf,max_features,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,0,c,rf_08,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,None,0.9501563380634166,0.9634904841543468,0.9442229523137514,0.9427555777221513,722,33
outer_fold,0,c,rf_09,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,balanced,0.9525596988602003,0.9624100221099933,0.9489474655431334,0.9463216089274744,722,27
outer_fold,0,c,rf_10,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,None,0.9502009266305717,0.9628495934449397,0.9457553136434702,0.9419978728033049,722,31
outer_fold,0,c,rf_11,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,balanced,0.9492658109171535,0.9589630563324918,0.9502903732424315,0.9385440031765373,722,36
outer_fold,0,c,rf_12,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,None,0.9471061385305797,0.9587712061134557,0.942586075364553,0.9399611341137303,722,49
outer_fold,0,c,rf_13,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,balanced,0.9465901871435426,0.960454268731637,0.9354008646368148,0.9439154280621759,722,50
outer_fold,0,c,rf_14,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,None,0.9452137588210593,0.9636902559083166,0.9311180013719285,0.9408330191829329,722,58
outer_fold,0,c,rf_15,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,balanced,0.9455271765202017,0.9589615142863208,0.9392016440447789,0.9384183712295052,722,55
outer_fold,0,c,rf_16,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,sqrt,None,0.9516712118574014,0.9619123714167331,0.9518255248687655,0.9412757392867055,722,29
outer_fold,0,c,rf_17,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,sqrt,balanced,0.9532069020500611,0.9632647756790667,0.9495592198229026,0.9467967106482142,722,26
outer_fold,0,c,rf_18,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,0.1,None,0.9514974820440324,0.9674271766077838,0.9407527877273976,0.9463124817969155,722,30
outer_fold,0,c,rf_19,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,0.1,balanced,0.9491003084550499,0.9554215105981361,0.9479141360902203,0.9439652786767933,722,39
outer_fold,0,c,rf_20,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,sqrt,None,0.9481151765250747,0.9552539102503895,0.9483915508999193,0.9407000684249156,722,44
outer_fold,0,c,rf_21,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,sqrt,balanced,0.9501828690318735,0.9548257709609457,0.9487961344277622,0.9469267017069127,722,32
outer_fold,0,c,rf_22,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,None,0.9494735348009354,0.9623931955452392,0.9429101211665278,0.9431172876910395,722,34
outer_fold,0,c,rf_23,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,balanced,0.9472132446575454,0.9548934708027507,0.9514649468401817,0.935281316329704,722,48
outer_fold,1,a,rf_00,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,None,0.947070241115319,0.9525675951279319,0.9430908067005175,0.9455523215175079,722,60
outer_fold,1,a,rf_01,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,balanced,0.9453659843417047,0.9503050687312224,0.9397223651706128,0.9460705191232789,722,63
outer_fold,1,a,rf_02,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,None,0.9445364922049183,0.9481021600901783,0.937723542767156,0.9477837737574206,722,68
outer_fold,1,a,rf_03,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,balanced,0.9456927100163157,0.9509750164115811,0.9426748648007902,0.9434282488365756,722,62
outer_fold,1,a,rf_04,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,None,0.9504192201851819,0.9519077029535109,0.9518443742740744,0.9475055833279604,722,44
