system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,roc_auc,average_precision,score_available,note
baseline_lr_b,b,default_0_5,outer_fold_0,181,0.8453038674033149,0.8319628647214854,0.8429752066115702,0.918918918918919,0.7285714285714285,102,51,19,9,1,72,0.9861111111111112,0.6685082872928176,0.9333333333333333,0.9581937805883174,True,Single outer-fold held-out result.
baseline_lr_b,b,default_0_5,outer_fold_1,181,0.8950276243093923,0.8890537793980062,0.918918918918919,0.9107142857142857,0.8695652173913043,102,60,9,10,1,54,0.9814814814814815,0.6132596685082873,0.9337474120082817,0.9614351311757298,True,Single outer-fold held-out result.
baseline_lr_b,b,default_0_5,outer_fold_2,180,0.8722222222222222,0.8579808582895956,0.8492063492063492,0.963963963963964,0.7246376811594203,107,50,19,4,0,71,1.0,0.7,0.9488183836009924,0.961929552187964,True,Single outer-fold held-out result.
baseline_lr_b,b,default_0_5,outer_fold_3,180,0.8777777777777778,0.8666487068965517,0.8677685950413223,0.9459459459459459,0.7681159420289855,105,53,16,6,1,71,0.9859154929577465,0.6722222222222223,0.9559994777386083,0.9683795384154236,True,Single outer-fold held-out result.
baseline_lr_b,b,default_0_5,outer_fold_4,181,0.8784530386740331,0.8640027322404371,0.8515625,0.9732142857142857,0.7246376811594203,109,50,19,3,1,66,0.9848484848484849,0.7071823204419889,0.9506987577639752,0.9691087266257531,True,Single outer-fold held-out result.
baseline_lr_c,c,default_0_5,outer_oof_aggregate,903,0.8560354374307863,0.8401082017586872,0.838351822503962,0.9497307001795332,0.7052023121387283,529,244,102,28,3,334,0.9910179640718563,0.698781838316722,0.9343977335228983,0.9556124300676192,True,Fixed C=1 unweighted LR baseline evaluated on the same outer folds.
baseline_lr_c,c,default_0_5,outer_fold_0,181,0.8176795580110497,0.7968160016328196,0.8046875,0.9279279279279279,0.6428571428571429,103,45,25,8,0,72,1.0,0.7071823204419889,0.912097812097812,0.9416989162122875,True,Single outer-fold held-out result.
baseline_lr_c,c,default_0_5,outer_fold_1,181,0.8674033149171271,0.8569169960474309,0.8728813559322034,0.9196428571428571,0.782608695652174,103,54,15,9,1,54,0.9814814814814815,0.6519337016574586,0.9311594202898551,0.9541396159472924,True,Single outer-fold held-out result.
baseline_lr_c,c,default_0_5,outer_fold_2,180,0.8555555555555555,0.8361115002101135,0.8244274809160306,0.972972972972973,0.6666666666666666,108,46,23,3,1,71,0.9859154929577465,0.7277777777777777,0.9546938242590417,0.9729807814249704,True,Single outer-fold held-out result.
baseline_lr_c,c,default_0_5,outer_fold_3,180,0.85,0.8332818771225687,0.8333333333333334,0.9459459459459459,0.6956521739130435,105,48,21,6,1,71,0.9859154929577465,0.7,0.9233581407494451,0.939521928644232,True,Single outer-fold held-out result.
baseline_lr_c,c,default_0_5,outer_fold_4,181,0.8895027624309392,0.8763661202185793,0.859375,0.9821428571428571,0.7391304347826086,110,51,18,2,0,66,1.0,0.7071823204419889,0.9594979296066253,0.975182003265797,True,Single outer-fold held-out result.
llm_train,,frozen_label,outer_oof_aggregate,903,0.9789590254706534,0.9776820383139968,0.9786476868327402,0.9874326750448833,0.9653179190751445,550,334,12,7,0,334,1.0,0.6223698781838317,,,False,Frozen label-only LLM baseline joined by query_id; ROC-AUC and average precision are undefined without probabilities.
always_relevant,,always_relevant,outer_oof_aggregate,903,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,,,False,Constant endpoint; ROC-AUC and average precision are undefined without probabilities.
