selection_scope,outer_fold,embedding,C,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,0,c,0.1,None,0.9426789912144972,0.9570124927597166,0.93093309401757,0.9400913868662052,722,18
outer_fold,0,c,0.1,balanced,0.9435619626313126,0.9571230056734381,0.9326223429837877,0.940940539236712,722,15
outer_fold,0,c,1.0,None,0.9561174092065884,0.9625530336554813,0.9519970632187941,0.9538021307454896,722,10
outer_fold,0,c,1.0,balanced,0.9566033857362098,0.9628065390471955,0.9529494157050491,0.9540542024563847,722,8
outer_fold,0,c,10.0,None,0.9591580101733735,0.9600346466863316,0.9573851860898508,0.960054197743938,722,6
outer_fold,0,c,10.0,balanced,0.9598618624408246,0.9612750500491799,0.9577750987138848,0.9605354385594089,722,5
outer_fold,0,c,100.0,None,0.9559468447026838,0.9572905663881506,0.9522474770710037,0.9583024906488973,722,12
outer_fold,0,c,100.0,balanced,0.9567166059676856,0.9580052907005426,0.9532501667531138,0.9588943604494007,722,7
outer_fold,1,a,0.01,None,0.9357967383703448,0.9408558934435576,0.9346284838894471,0.9319058377780298,722,29
outer_fold,1,a,0.01,balanced,0.935656762669101,0.9411197889903344,0.9343788831601727,0.9314716158567962,722,30
outer_fold,1,a,0.1,None,0.9413767668590799,0.9491512717671653,0.9391265316939019,0.9358524971161726,722,25
outer_fold,1,a,0.1,balanced,0.9412829866260658,0.9495040353361442,0.9386610005633342,0.9356839239787189,722,26
outer_fold,1,a,1.0,None,0.9514327083342161,0.9625223301835197,0.9492786198865426,0.9424971749325859,722,18
outer_fold,1,a,1.0,balanced,0.9521752402838013,0.9636172791008736,0.9503065544401021,0.942601887310428,722,15
outer_fold,1,a,10.0,None,0.9541871243149096,0.9650310069339827,0.9565455291756528,0.940984836835093,722,13
outer_fold,1,a,10.0,balanced,0.953434651070013,0.9641670805279358,0.9565292989657544,0.939607573716349,722,14
outer_fold,1,a,100.0,None,0.9415893803689589,0.9535024730585306,0.9442821390121954,0.9269835290361506,722,24
outer_fold,1,a,100.0,balanced,0.9420603581411869,0.9530438439530495,0.9447137412814248,0.9284234891890861,722,23
outer_fold,1,b,0.01,None,0.9444538606182252,0.9491963568383741,0.9446260473778518,0.9395391776384494,722,20
