threshold,accuracy,macro_f1,precision,relevant_recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,feasible_recall_first,selected_default_0_5,selected_balanced_macro_f1,selected_recall_first
0.9609844088554382,0.8128460686600222,0.8116486161251504,0.9641148325358851,0.7235188509874326,0.9566473988439307,403,331,15,154,65,334,0.8053892215568862,0.4629014396456257,418,False,False,False,False
0.9612860679626465,0.8117386489479512,0.8105675446217027,0.9640287769784173,0.7217235188509874,0.9566473988439307,402,331,15,155,65,334,0.8053892215568862,0.46179401993355484,417,False,False,False,False
0.9615163207054138,0.8106312292358804,0.8094863844818503,0.9639423076923077,0.7199281867145422,0.9566473988439307,401,331,15,156,65,334,0.8053892215568862,0.46068660022148394,416,False,False,False,False
0.9618540406227112,0.8095238095238095,0.8084051277496521,0.963855421686747,0.718132854578097,0.9566473988439307,400,331,15,157,66,334,0.8023952095808383,0.45957918050941304,415,False,False,False,False
0.9635950922966003,0.8084163898117387,0.8073237664732327,0.9637681159420289,0.7163375224416517,0.9566473988439307,399,331,15,158,67,334,0.7994011976047904,0.4584717607973422,414,False,False,False,False
0.9656359553337097,0.8073089700996677,0.8062422927045825,0.9636803874092009,0.7145421903052065,0.9566473988439307,398,331,15,159,68,334,0.7964071856287425,0.4573643410852713,413,False,False,False,False
0.9659656286239624,0.8062015503875969,0.8051606984993582,0.9635922330097088,0.7127468581687613,0.9566473988439307,397,331,15,160,69,334,0.7934131736526946,0.45625692137320045,412,False,False,False,False
0.9662206768989563,0.805094130675526,0.8040789759166848,0.9635036496350365,0.7109515260323159,0.9566473988439307,396,331,15,161,70,334,0.7904191616766467,0.45514950166112955,411,False,False,False,False
0.9666275978088379,0.8039867109634552,0.8029971170189557,0.9634146341463414,0.7091561938958707,0.9566473988439307,395,331,15,162,71,334,0.7874251497005988,0.4540420819490587,410,False,False,False,False
0.9669432640075684,0.8028792912513842,0.8019151138716356,0.9633251833740831,0.7073608617594255,0.9566473988439307,394,331,15,163,71,334,0.7874251497005988,0.4529346622369878,409,False,False,False,False
0.9671242237091064,0.8017718715393134,0.8008329585430619,0.9632352941176471,0.7055655296229802,0.9566473988439307,393,331,15,164,71,334,0.7874251497005988,0.45182724252491696,408,False,False,False,False
0.9672998189926147,0.8006644518272426,0.7997506431042469,0.9631449631449631,0.703770197486535,0.9566473988439307,392,331,15,165,72,334,0.7844311377245509,0.45071982281284606,407,False,False,False,False
0.9679072499275208,0.7995570321151716,0.7986681596286811,0.9630541871921182,0.7019748653500898,0.9566473988439307,391,331,15,166,73,334,0.781437125748503,0.4496124031007752,406,False,False,False,False
0.9680637121200562,0.7984496124031008,0.7975855001921353,0.9629629629629629,0.7001795332136446,0.9566473988439307,390,331,15,167,74,334,0.7784431137724551,0.4485049833887043,405,False,False,False,False
0.9687271118164062,0.7973421926910299,0.796502656872464,0.9628712871287128,0.6983842010771992,0.9566473988439307,389,331,15,168,75,334,0.7754491017964071,0.44739756367663347,404,False,False,False,False
0.9689415693283081,0.7962347729789591,0.795419621749409,0.9627791563275434,0.696588868940754,0.9566473988439307,388,331,15,169,76,334,0.7724550898203593,0.44629014396456257,403,False,False,False,False
0.9693324565887451,0.7951273532668881,0.7943363869044029,0.9626865671641791,0.6947935368043088,0.9566473988439307,387,331,15,170,76,334,0.7724550898203593,0.44518272425249167,402,False,False,False,False
0.9693846702575684,0.7940199335548173,0.7932529444203726,0.9625935162094763,0.6929982046678635,0.9566473988439307,386,331,15,171,76,334,0.7724550898203593,0.4440753045404208,401,False,False,False,False
0.9698759317398071,0.7929125138427464,0.7921692863815442,0.9625,0.6912028725314183,0.9566473988439307,385,331,15,172,77,334,0.7694610778443114,0.4429678848283499,400,False,False,False,False
0.969913899898529,0.7918050941306756,0.7910854048732463,0.9624060150375939,0.6894075403949731,0.9566473988439307,384,331,15,173,78,334,0.7664670658682635,0.4418604651162791,399,False,False,False,False
0.9701491594314575,0.7906976744186046,0.7900012919817154,0.9623115577889447,0.6876122082585279,0.9566473988439307,383,331,15,174,79,334,0.7634730538922155,0.4407530454042082,398,False,False,False,False
0.971371054649353,0.7918050941306756,0.7911388667434376,0.964735516372796,0.6876122082585279,0.9595375722543352,383,332,14,174,79,334,0.7634730538922155,0.43964562569213733,397,False,False,False,False
0.9719960689544678,0.7906976744186046,0.7900539912831571,0.9646464646464646,0.6858168761220825,0.9595375722543352,382,332,14,175,80,334,0.7604790419161677,0.43853820598006643,396,False,False,False,False
0.9725438356399536,0.7895902547065338,0.7889688662350186,0.9645569620253165,0.6840215439856373,0.9595375722543352,381,332,14,176,80,334,0.7604790419161677,0.4374307862679956,395,False,False,False,False
0.9729105830192566,0.7884828349944629,0.7878834836829192,0.9644670050761421,0.6822262118491921,0.9595375722543352,380,332,14,177,81,334,0.7574850299401198,0.4363233665559247,394,False,False,False,False
0.9740166068077087,0.7873754152823921,0.7867978357107722,0.9643765903307888,0.6804308797127468,0.9595375722543352,379,332,14,178,82,334,0.7544910179640718,0.43521594684385384,393,False,False,False,False
0.9743538498878479,0.7862679955703211,0.7857119144023126,0.9642857142857143,0.6786355475763016,0.9595375722543352,378,332,14,179,82,334,0.7544910179640718,0.43410852713178294,392,False,False,False,False
0.974470317363739,0.7873754152823921,0.786846065327078,0.9667519181585678,0.6786355475763016,0.9624277456647399,378,333,13,179,82,334,0.7544910179640718,0.4330011074197121,391,False,False,False,False
0.9746907949447632,0.7862679955703211,0.785759330672315,0.9666666666666667,0.6768402154398564,0.9624277456647399,377,333,13,180,82,334,0.7544910179640718,0.4318936877076412,390,False,False,False,False
0.9747387766838074,0.7873754152823921,0.7868921775898521,0.9691516709511568,0.6768402154398564,0.9653179190751445,377,334,12,180,82,334,0.7544910179640718,0.43078626799557035,389,False,False,False,False
0.9749199748039246,0.7862679955703211,0.7858046199509614,0.9690721649484536,0.6750448833034112,0.9653179190751445,376,334,12,181,83,334,0.7514970059880239,0.42967884828349945,388,False,False,False,False
0.975357174873352,0.7873754152823921,0.7869361752330017,0.9715762273901809,0.6750448833034112,0.9682080924855492,376,335,11,181,83,334,0.7514970059880239,0.42857142857142855,387,False,False,False,False
0.9754214882850647,0.7862679955703211,0.7858477849225063,0.9715025906735751,0.6732495511669659,0.9682080924855492,375,335,11,182,83,334,0.7514970059880239,0.4274640088593577,386,False,False,False,False
0.9756339192390442,0.7851605758582503,0.7847590823307384,0.9714285714285714,0.6714542190305206,0.9682080924855492,374,335,11,183,83,334,0.7514970059880239,0.4263565891472868,385,False,False,False,False
0.9758418798446655,0.7840531561461794,0.7836700595234438,0.9713541666666666,0.6696588868940754,0.9682080924855492,373,335,11,184,84,334,0.7485029940119761,0.42524916943521596,384,False,False,False,False
0.9770603179931641,0.7829457364341085,0.7825807085646896,0.9712793733681462,0.6678635547576302,0.9682080924855492,372,335,11,185,84,334,0.7485029940119761,0.42414174972314506,383,False,False,False,False
0.9773002862930298,0.7818383167220376,0.781491021516669,0.9712041884816754,0.6660682226211849,0.9682080924855492,371,335,11,186,85,334,0.7455089820359282,0.4230343300110742,382,False,False,False,False
0.9778213500976562,0.7829457364341085,0.7826191622532499,0.973753280839895,0.6660682226211849,0.9710982658959537,371,336,10,186,85,334,0.7455089820359282,0.4219269102990033,381,False,False,False,False
0.9782218933105469,0.7818383167220376,0.7815285912363847,0.9736842105263158,0.6642728904847397,0.9710982658959537,370,336,10,187,85,334,0.7455089820359282,0.42081949058693247,380,False,False,False,False
0.9786039590835571,0.7807308970099668,0.7804376657824934,0.9736147757255936,0.6624775583482945,0.9710982658959537,369,336,10,188,85,334,0.7455089820359282,0.41971207087486156,379,False,False,False,False
0.979213297367096,0.7818383167220376,0.7815640022839321,0.9761904761904762,0.6624775583482945,0.9739884393063584,369,337,9,188,85,334,0.7455089820359282,0.4186046511627907,378,False,False,False,False
0.9793334603309631,0.7807308970099668,0.7804721725635031,0.9761273209549072,0.6606822262118492,0.9739884393063584,368,337,9,189,86,334,0.7425149700598802,0.4174972314507198,377,False,False,False,False
0.9798744320869446,0.7796234772978959,0.7793799700187475,0.976063829787234,0.6588868940754039,0.9739884393063584,367,337,9,190,86,334,0.7425149700598802,0.416389811738649,376,False,False,False,False
0.9800628423690796,0.778516057585825,0.7782873866884041,0.976,0.6570915619389587,0.9739884393063584,366,337,9,191,87,334,0.7395209580838323,0.4152823920265781,375,False,False,False,False
0.9802036285400391,0.7796234772978959,0.7794113856068743,0.9786096256684492,0.6570915619389587,0.976878612716763,366,338,8,191,87,334,0.7395209580838323,0.4141749723145072,374,False,False,False,False
0.9802871346473694,0.778516057585825,0.7783178671380173,0.9785522788203753,0.6552962298025135,0.976878612716763,365,338,8,192,88,334,0.7365269461077845,0.4130675526024363,373,False,False,False,False
0.9807440638542175,0.7774086378737541,0.7772239494411053,0.978494623655914,0.6535008976660682,0.976878612716763,364,338,8,193,89,334,0.7335329341317365,0.4119601328903654,372,False,False,False,False
0.9809580445289612,0.7763012181616833,0.7761296245385281,0.9784366576819407,0.651705565529623,0.976878612716763,363,338,8,194,90,334,0.7305389221556886,0.4108527131782946,371,False,False,False,False
0.9810491800308228,0.7751937984496124,0.7750348844487153,0.9783783783783784,0.6499102333931778,0.976878612716763,362,338,8,195,91,334,0.7275449101796407,0.4097452934662237,370,False,False,False,False
0.981493353843689,0.7740863787375415,0.7739397211859416,0.978319783197832,0.6481149012567325,0.976878612716763,361,338,8,196,91,334,0.7275449101796407,0.40863787375415284,369,False,False,False,False
0.982225775718689,0.7729789590254706,0.7728441267601314,0.9782608695652174,0.6463195691202872,0.976878612716763,360,338,8,197,91,334,0.7275449101796407,0.40753045404208194,368,False,False,False,False
0.9823986887931824,0.7718715393133998,0.7717480931766647,0.9782016348773842,0.644524236983842,0.976878612716763,359,338,8,198,92,334,0.7245508982035929,0.4064230343300111,367,False,False,False,False
0.9825881719589233,0.770764119601329,0.7706516124361817,0.9781420765027322,0.6427289048473968,0.976878612716763,358,338,8,199,92,334,0.7245508982035929,0.4053156146179402,366,False,False,False,False
0.9829755425453186,0.769656699889258,0.7695546765343881,0.9780821917808219,0.6409335727109515,0.976878612716763,357,338,8,200,92,334,0.7245508982035929,0.40420819490586934,365,False,False,False,False
0.983720064163208,0.7685492801771872,0.7684572774618599,0.978021978021978,0.6391382405745063,0.976878612716763,356,338,8,201,93,334,0.7215568862275449,0.40310077519379844,364,False,False,False,False
0.9837242364883423,0.7674418604651163,0.7673594072038472,0.977961432506887,0.6373429084380611,0.976878612716763,355,338,8,202,94,334,0.718562874251497,0.4019933554817276,363,False,False,False,False
0.9841769933700562,0.7663344407530454,0.7662610577400807,0.9779005524861878,0.6355475763016158,0.976878612716763,354,338,8,203,95,334,0.7155688622754491,0.4008859357696567,362,False,False,False,False
0.984229326248169,0.7652270210409745,0.765162221044574,0.9778393351800554,0.6337522441651705,0.976878612716763,353,338,8,204,96,334,0.7125748502994012,0.3997785160575858,361,False,False,False,False
0.9842801094055176,0.7641196013289037,0.7640628890854292,0.9777777777777777,0.6319569120287253,0.976878612716763,352,338,8,205,97,334,0.7095808383233533,0.39867109634551495,360,False,False,False,False
0.9845063090324402,0.7630121816168328,0.7629630538246406,0.9777158774373259,0.63016157989228,0.976878612716763,351,338,8,206,98,334,0.7065868263473054,0.39756367663344405,359,False,False,False,False
0.9850382208824158,0.7619047619047619,0.7618627072178985,0.9776536312849162,0.6283662477558348,0.976878612716763,350,338,8,207,98,334,0.7065868263473054,0.3964562569213732,358,False,False,False,False
0.9851073622703552,0.760797342192691,0.7607618412143929,0.9775910364145658,0.6265709156193896,0.976878612716763,349,338,8,208,98,334,0.7065868263473054,0.3953488372093023,357,False,False,False,False
0.9853257536888123,0.7596899224806202,0.7596604477566175,0.9775280898876404,0.6247755834829444,0.976878612716763,348,338,8,209,99,334,0.7035928143712575,0.39424141749723146,356,False,False,False,False
0.9857017993927002,0.7585825027685493,0.7585585187801719,0.9774647887323944,0.6229802513464991,0.976878612716763,347,338,8,210,99,334,0.7035928143712575,0.39313399778516056,355,False,False,False,False
0.9858257174491882,0.7574750830564784,0.757456046213566,0.9774011299435028,0.6211849192100538,0.976878612716763,346,338,8,211,100,334,0.7005988023952096,0.3920265780730897,354,False,False,False,False
0.9858617782592773,0.7563676633444075,0.7563530219780219,0.9773371104815864,0.6193895870736086,0.976878612716763,345,338,8,212,100,334,0.7005988023952096,0.3909191583610188,353,False,False,False,False
0.9860073924064636,0.7552602436323367,0.755249437987277,0.9772727272727273,0.6175942549371634,0.976878612716763,344,338,8,213,100,334,0.7005988023952096,0.38981173864894797,352,False,False,False,False
0.9863638281822205,0.7563676633444075,0.7563601934793913,0.98005698005698,0.6175942549371634,0.9797687861271677,344,339,7,213,100,334,0.7005988023952096,0.38870431893687707,351,False,False,False,False
0.9864699244499207,0.7552602436323367,0.7552554412412174,0.98,0.6157989228007181,0.9797687861271677,343,339,7,214,100,334,0.7005988023952096,0.3875968992248062,350,False,False,False,False
0.9864756464958191,0.7541528239202658,0.7541501103752759,0.9799426934097422,0.6140035906642729,0.9797687861271677,342,339,7,215,101,334,0.6976047904191617,0.3864894795127353,349,False,False,False,False
0.9866654276847839,0.7530454042081949,0.7530441927631055,0.9798850574712644,0.6122082585278277,0.9797687861271677,341,339,7,216,102,334,0.6946107784431138,0.3853820598006645,348,False,False,False,False
0.9869875907897949,0.751937984496124,0.7519376802778486,0.9798270893371758,0.6104129263913824,0.9797687861271677,340,339,7,217,102,334,0.6946107784431138,0.3842746400885936,347,False,False,False,False
0.9873880743980408,0.7508305647840532,0.7508305647840532,0.9797687861271677,0.6086175942549371,0.9797687861271677,339,339,7,218,103,334,0.6916167664670658,0.3831672203765227,346,False,False,False,False
0.987694263458252,0.7497231450719822,0.7497228381374723,0.9797101449275363,0.6068222621184919,0.9797687861271677,338,339,7,219,104,334,0.688622754491018,0.38205980066445183,345,False,False,False,False
0.987740695476532,0.7486157253599114,0.7486144921848652,0.9796511627906976,0.6050269299820467,0.9797687861271677,337,339,7,220,104,334,0.688622754491018,0.38095238095238093,344,False,False,False,False
0.9879209995269775,0.7475083056478405,0.7475055187637969,0.9795918367346939,0.6032315978456014,0.9797687861271677,336,339,7,221,105,334,0.6856287425149701,0.3798449612403101,343,False,False,False,False
